id_dentista,nome_dentista
4962304218365952,Ana
4533357844168704,Joana
5226025450340352,Julia
4808189297164288,Katarina
5494262011396096,Carlos
4962304218365952,Ana
5594174370349056,Felipe
4891712565084160,Beatriz
5788416824049664,João
5148855276797952,Luciana
5927954648530944,Bruno
5057259602706432,Daniel
6099252238614528,Natalia
5097609955770368,Lucas
6200771016523776,Marina
5272257964343296,Priscila
4552979624034304,Janaina
5237123728867328,Diana
5057259602706432,Daniel
5470796465438720,Mateus
5175349851783168,Felipe
5570900166705152,Diana
5363178476011520,Alberto
5594174370349056,Felipe
5495497544302592,Debora
5709926483689472,Fernando
5804578516893696,Mariana
5716085923774464,Fernanda
5925308461023232,Maria Alice
6093434866696192,Giovana
6019238468124672,Naiara
6124518606176256,Edson
6311049667936256,Miriam
6512483044818944,Aparecida
6570010302349312,Tatiana
6613426735284224,Viviane
